 Recursos Federais do SUS (por Município) - Conceito de Período de Competência - Brasil
Valor despendido por Região/UF e Ano/Mês Compet
Período:Dez/1996-Dez/2006
"Região/UF";"1996/Dez";"1997/Jan";"1997/Fev";"1997/Mar";"1997/Abr";"1997/Mai";"1997/Jun";"1997/Jul";"1997/Ago";"1997/Set";"1997/Out";"1997/Nov";"1997/Dez";"1998/Jan";"1998/Fev";"1998/Mar";"1998/Abr";"1998/Mai";"1998/Jun";"1998/Jul";"1998/Ago";"1998/Set";"1998/Out";"1998/Nov";"1998/Dez";"1999/Jan";"1999/Fev";"1999/Mar";"1999/Abr";"1999/Mai";"1999/Jun";"1999/Jul";"1999/Ago";"1999/Set";"1999/Out";"1999/Nov";"1999/Dez";"2000/Jan";"2000/Fev";"2000/Mar";"2000/Abr";"2000/Mai";"2000/Jun";"2000/Jul";"2000/Ago";"2000/Set";"2000/Out";"2000/Nov";"2000/Dez";"2001/Jan";"2001/Fev";"2001/Mar";"2001/Abr";"2001/Mai";"2001/Jun";"2001/Jul";"2001/Ago";"2001/Set";"2001/Out";"2001/Nov";"2001/Dez";"2002/Jan";"2002/Fev";"2002/Mar";"2002/Abr";"2002/Mai";"2002/Jun";"2002/Jul";"2002/Ago";"2002/Set";"2002/Out";"2002/Nov";"2002/Dez";"2003/Jan";"2003/Fev";"2003/Mar";"2003/Abr";"2003/Mai";"2003/Jun";"2003/Jul";"2003/Ago";"2003/Set";"2003/Out";"2003/Nov";"2003/Dez";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"Total"
".. Piauí";9680925,00;9692405,50;9715475,17;9864412,93;9937823,05;9915804,42;9916297,69;9952887,32;9989990,68;10053465,60;10023766,16;9987632,08;9957017,97;9511750,76;9877039,72;9844730,73;9743864,47;9994544,24;11710499,42;12038082,96;12242468,30;12470194,71;12728872,09;12833942,25;12788612,35;13268967,68;13133540,63;13444471,16;13766432,11;14755393,39;14872486,51;15218308,30;15668121,11;16285765,07;18051071,64;17315207,90;17387653,05;18168101,83;17861929,43;17395673,02;17842215,40;18078693,28;19460613,05;19521969,52;18979219,64;19815235,56;20000241,55;12957720,46;19138850,05;20106689,20;20196533,44;19976039,50;21182978,57;21155496,30;22138137,28;21572265,78;21167872,10;21202224,68;22219786,07;21332955,66;21721335,40;22167810,88;22203826,50;21967356,01;23164014,28;22931989,35;23053676,96;21867406,27;24484842,95;23316958,84;23340451,55;24279841,36;22652513,01;23062194,71;23084093,18;23733715,08;24687169,48;25407615,60;26232884,37;26373277,03;26040325,15;28686997,68;27340468,84;28036372,69;28029517,63;27976932,05;28872805,99;27418216,17;29026814,98;29650252,26;29960175,08;31508527,96;31436052,03;32240449,91;30655800,38;33579310,68;31854666,77;26109107,42;32366618,07;33183960,48;33311957,39;34058558,52;33940916,23;35006929,44;34666709,85;37137737,61;28695845,58;35679129,83;36407939,87;36569134,10;36969942,24;35330252,29;36246507,56;37173798,96;37935064,33;39319403,59;38471536,21;40571115,81;37574357,08;37338747,57;748139,85;2685971434,43
".. Ceará";21543033,92;23291528,08;22919375,84;23642717,29;24742103,13;22934540,20;26659821,25;25202041,07;25077696,91;25394631,74;25138364,29;25103338,55;24927310,80;23022783,49;24358139,81;25759912,77;27068130,63;27601780,45;32459266,22;32355932,74;32875905,06;34405015,63;34549827,81;34109138,64;33992230,46;34995269,34;35035461,70;37023684,87;37418381,20;39332434,32;40309060,56;41289528,65;42182677,82;42597086,03;45459090,24;43505643,52;43366832,34;44449376,49;44315066,73;45472914,65;44210543,02;45229745,55;47512408,05;46864501,60;48104079,93;48302087,42;48635842,41;34500864,23;47269502,08;46988499,79;47653564,62;48118598,05;48449621,35;48976390,56;50446745,48;50638232,77;51821216,47;46344260,15;52360833,84;52761084,71;52801801,36;52992102,38;52309169,64;51624167,11;50795699,90;52830806,46;53713636,21;50329677,56;58379857,16;54000229,87;37639328,29;60102447,95;57774310,52;55378815,49;54232262,28;56494449,71;56899833,40;61389311,96;61960788,86;60913117,88;63973832,29;66661483,73;67212249,54;66989349,59;65266899,76;65085848,14;66043098,41;66131690,66;68592981,01;71311812,67;71929637,48;72345502,43;71748639,79;72486586,15;72814636,62;74584374,20;72518346,96;65019347,51;72471053,95;73838415,47;75622839,53;74277360,24;74374764,51;77457597,12;76842826,55;80790887,19;71260110,98;82938961,56;82076947,36;83001271,78;79701021,80;78614006,85;80275321,58;82688937,04;81946773,06;81475741,67;88130317,73;95836725,51;83843713,73;84178320,96;4529628,63;6350527373,05
".. Rio Grande do Norte";8978287,58;8783226,74;9014389,34;9241541,28;9492191,44;9533644,30;9463370,15;9418839,98;9429246,63;9456534,32;9495573,71;9421924,14;9412706,08;9168560,08;9102483,85;9296214,11;9001391,81;10255372,39;11212553,90;11873509,62;12128779,68;12281321,65;12408271,22;12439777,44;11709069,29;11991568,82;11976765,28;12019382,31;12286204,96;12737938,24;13585570,98;13808474,71;13883564,23;15281768,38;16535899,04;14598240,03;15003021,97;14939184,92;14990845,87;15033820,46;14838288,80;15131001,14;16401693,34;15843377,35;15936167,70;17111234,37;16958377,27;10779764,22;18025572,05;16198252,81;17182314,97;18205593,83;18313388,81;18598748,98;19180697,57;18974553,19;18279152,01;18561699,68;19378856,58;19382636,74;19526300,67;19769793,00;19306360,81;19766795,72;20390284,94;20441645,54;21411072,66;21092533,94;21824315,57;20469147,60;21252383,76;22065313,78;21957915,42;21365411,64;21166293,05;21765483,01;22340552,90;23430152,24;23917899,80;24563397,04;24968354,61;26259183,68;27078120,38;27196069,75;25536990,81;27342760,83;23815276,95;24907888,05;25876470,78;27164765,22;27477055,25;29487191,17;30449132,65;29470885,31;28712842,22;31734983,19;29890896,53;25568803,73;30187550,96;33065344,89;30940039,46;31054986,50;32134798,37;32387297,18;32356799,93;34442524,02;26890989,92;34748568,70;35281507,63;32100978,16;32715469,61;31424977,65;28367308,14;33197783,31;32637638,99;34201634,99;36216534,79;39833430,37;34437225,88;31985713,15;1784152,05;2447126381,19
".. Paraíba";10601771,54;10089529,02;11302735,40;11518142,46;11886050,74;11176063,26;11583353,93;11526610,85;11374378,79;11193505,82;11657986,98;11548956,31;11068056,67;10471303,25;12055031,86;11708767,91;12171049,97;12882046,93;14152435,77;14800890,74;15005333,61;15111416,25;15310928,42;15164962,48;14580575,34;14984597,46;14435343,03;14942890,44;15619565,43;16146169,74;16468482,69;16457477,63;17038799,05;16086367,74;17842116,71;18623781,31;18080698,72;16665578,72;18014595,04;18264349,80;18566864,53;18742507,88;20031547,31;16986827,92;21256153,91;21653726,66;20674802,57;15486484,07;23125341,81;19494044,18;16201137,24;23389441,91;24107190,30;24196116,28;23848956,72;23918748,69;23904213,82;24064165,91;25881226,42;24481235,07;25259870,48;25127818,02;24657748,56;24486640,91;25541893,22;24952889,22;25854750,74;26210383,37;28268697,27;26734466,37;26617010,49;27765661,36;26986521,88;26013811,39;26437499,53;27121537,61;27074331,23;30029535,81;29424478,32;29953411,45;29830019,51;34111443,95;32001229,03;32785952,90;32559760,23;33076166,92;32378480,59;31662189,62;34505974,69;35597685,19;35303353,38;38958394,75;39520849,19;39608672,10;37419086,58;41632504,83;39739004,12;31922243,34;39464877,73;39407796,55;41306226,25;40807882,58;40958088,99;42079409,15;41710934,44;44660868,26;34873023,46;43259255,17;44962147,94;44751926,05;43041610,15;43162142,91;42564576,54;43596641,41;42969982,88;43421258,83;45332082,41;49273935,90;41202066,17;42078749,02;1549414,35;3093190296,30
".. Pernambuco";27315899,43;27478583,89;28066862,62;28503491,23;28179891,11;28273361,37;28485045,17;28783106,97;29044463,14;28672177,83;29276882,49;28237814,48;27965586,81;27496881,70;29442580,95;30407664,25;30871365,87;32503624,90;36865696,56;37192994,93;38626877,33;39295342,97;38528504,08;38922602,74;37462964,58;37911354,94;38619590,39;39759938,44;39785466,64;40968706,05;41196772,63;42454452,68;42873414,41;44247721,20;48099076,49;47812805,87;48013669,09;45727337,62;46282077,38;46184203,44;47224780,23;48323405,10;50036295,41;51092324,29;51616146,26;50102583,47;51269615,48;44394406,12;56708784,93;49514933,61;59449559,19;60869924,03;60923671,53;62116340,90;64810335,95;57023037,26;62971221,39;55528082,21;64355550,65;62787269,12;56360002,27;57469576,65;56561284,04;63499094,47;60327984,71;65033173,24;59545093,92;60009833,07;64102424,66;61730294,61;64179568,87;65071004,29;63358002,32;61935688,77;60968251,53;63021482,03;62512338,44;66186364,13;66702166,26;69130502,42;68082080,75;71663807,05;70442835,00;74937334,76;71000027,07;72231982,80;72368971,11;69682375,60;75157138,15;60918962,60;74168270,42;79877197,15;76429972,83;80543270,30;82234407,21;84350372,48;81274905,12;73426847,08;80274532,44;83594003,89;83444305,01;82889155,27;85710347,11;86699509,27;85990424,46;89775515,06;78865290,64;91139023,90;90619235,10;94285987,24;90507167,00;90183715,37;91585398,38;93086412,39;95333743,88;93297396,33;98487046,62;102504068,57;96731734,53;90164000,36;2692557,61;7111310580,41
".. Alagoas";7554665,17;7801562,20;7642303,77;8359978,26;8270503,60;8232380,06;8409272,58;8375532,09;8048335,49;8138633,76;8628367,86;8641505,57;8546998,69;8310124,80;8179225,55;8684693,57;8954930,12;8899048,87;11651328,55;11725396,02;12186689,18;12751104,15;12648317,28;12424424,03;12099668,36;12213911,52;12153900,17;12774199,21;13323612,05;13273702,23;13200175,64;13779974,67;15075179,13;14794842,89;15518471,53;15942739,48;15229412,09;15476985,49;16084156,94;16361730,38;16452040,43;16414226,79;16374312,59;16920105,71;12239449,06;16893030,07;17734944,54;7367478,45;17556308,27;14573297,75;17291839,22;17859348,62;19250706,41;18248042,63;15298272,18;19531254,65;18859345,95;19860996,62;21021867,30;20183735,29;20306964,42;20405240,58;19972745,15;20024348,11;19487927,68;18326889,60;21506991,22;21272574,69;22901376,04;21584438,14;20131916,40;23109680,62;22584165,17;22396719,15;22023020,93;22955625,34;22934194,12;24346690,44;24758500,88;24318650,02;25090856,65;26648126,36;26890589,61;25915081,72;27074726,96;25623850,79;24959041,55;25836935,43;26385736,47;27209221,66;26973087,49;29373033,19;27435196,20;29064309,45;29085582,35;29933168,11;28681800,12;24253165,63;28786488,77;29040594,02;30541366,58;29986136,33;30003055,53;31594706,08;29913812,48;32653994,62;26135496,00;32164199,40;32264184,02;34558291,52;31783488,14;31014565,53;33209889,78;32812646,04;32766138,36;32946573,06;34045659,24;37846926,05;31253149,10;30814932,69;798360,64;2409015407,95
".. Sergipe";4341122,74;4593034,97;4379194,80;4687236,32;4733685,97;4832380,36;4749543,10;4720071,82;4803130,86;4719394,93;4841280,59;4834297,36;4676954,13;4647413,47;4603254,70;5125010,28;5374120,34;5784227,72;6563613,34;6915307,67;7226167,88;7611730,58;7111690,49;7357778,19;7142745,24;7619847,75;7672434,64;7861995,91;8161402,03;8462195,55;8656708,29;9070531,46;9436320,06;9367925,92;10087912,68;9323298,49;9621754,99;9832478,35;10402103,31;10732126,31;10778938,57;11133550,23;11383548,26;11512370,86;11659842,29;11724988,07;11568602,57;11469943,35;11773204,33;10712550,15;11891538,10;12404022,22;11985439,00;12131492,47;12553598,99;12552743,14;12133844,38;12091037,85;12877435,33;12503359,64;12575994,24;13108380,54;12306217,20;12836427,74;13590598,16;13436170,02;13419058,00;13228820,66;14579537,04;13783446,60;13825902,63;14241210,04;14060647,52;13832960,45;13789343,62;14105880,72;13921844,43;14811040,88;15185984,60;15255492,15;15981483,80;17409074,97;16813568,83;16888550,53;16566083,69;17532862,80;17350449,26;16986486,64;17406391,48;17837106,33;17609701,05;18758614,84;18784682,57;18811341,64;19861652,42;20053172,13;19362433,59;16720574,55;19423817,82;19531746,09;19553250,63;19579124,63;19381340,84;19852352,72;19524478,56;20912209,80;17856541,79;21607008,98;21264494,78;23102851,49;21875843,21;21687958,12;18466397,35;22650559,40;21871601,80;22399232,94;22598109,07;26426832,64;22843952,46;22386232,15;670181,64;1571620780,66
".. Bahia";31475726,56;30160863,07;31270487,20;32342303,52;32067514,90;34008432,20;36489565,69;32848259,23;32906782,62;32336609,77;32634299,19;32090382,70;31667448,59;31905296,05;36596015,07;37412709,95;39510600,13;40344356,87;47851989,21;49375325,39;50549258,61;50476861,52;51461977,40;51614763,20;51595221,83;53314229,50;52756291,57;56442726,26;57558692,48;60867347,57;59535790,51;61805036,20;64086987,80;61831789,34;67221899,46;66675869,02;68060120,93;68578170,94;68531409,47;69463830,71;69803602,95;73791435,90;76167127,65;76731319,51;80254683,04;79730065,12;78568903,17;74607414,42;81841076,35;75490666,09;80161837,44;81231912,31;82880379,38;82251717,55;83702417,31;85142696,24;85923223,99;83395596,13;84043212,99;84998618,88;85681636,05;86555326,40;85246846,10;86858277,76;79974242,47;90179143,68;90460263,37;89961001,47;97756533,91;90034741,82;91044223,11;92961675,12;93008245,08;92838978,78;92028695,58;94295239,85;93699139,27;96988197,17;98032335,57;99953487,41;100120616,16;113950098,84;108979972,65;106519022,53;105522639,19;104190765,86;106011091,25;102514827,97;109706496,00;113336654,67;113042461,32;118745969,96;119582166,19;119815804,49;120553510,21;124129009,10;122315351,03;112227143,92;119815909,02;121742278,32;123762338,21;124707744,75;124195526,49;133232150,50;127977573,04;136038592,97;122581831,25;135325791,02;136282335,94;141056798,30;133467425,58;144622201,45;146993694,60;148336738,41;144757499,32;146861885,10;150800422,75;171487710,32;142605500,19;142604555,37;2931544,50;10369451027,36
"Região Sudeste";279651914,40;274249328,05;283299563,71;297860890,90;306239544,23;308655442,72;304235021,25;312409469,00;312622684,04;310379680,91;309764306,21;309940642,66;319550026,15;286750380,93;300355228,42;301553017,46;312661312,91;321785113,32;373921214,51;367285173,93;374967513,50;385390546,04;389700294,02;386050998,09;376370804,43;383449823,47;381269704,40;388571481,59;407345257,72;422559307,51;413657037,46;424989939,75;429493042,94;426380169,81;458014810,89;448094692,65;467116902,47;469876104,54;468855825,93;480397192,02;491875146,34;478080063,10;498505613,73;463054117,23;470108727,96;509505558,31;519417033,24;334128931,41;521412891,43;497005212,77;516667553,05;525403481,55;537988513,84;533832730,13;592625006,46;535497515,87;561447034,86;579907677,57;604182388,33;599228574,40;604938046,04;590328780,81;604106666,16;618121960,15;606682498,78;635529427,48;581512229,01;587540409,74;612945955,76;605515993,94;615679570,48;643928619,94;626326687,22;611779578,16;608593965,63;628612517,63;633370206,03;670448854,16;673041259,13;681784256,60;664138807,64;680093382,52;698805707,58;675225863,72;690452973,50;706378747,88;674832180,85;684349382,96;685084378,14;714211114,75;702895378,88;716935143,62;723118047,18;729782004,56;739603297,59;751419527,51;752797187,17;723117089,24;752566028,39;766016741,03;760991326,81;757883017,67;761835277,25;790237158,55;756411574,55;800460706,40;742286714,04;836508176,77;850241646,59;819575201,21;840674999,76;843671186,63;831256945,03;864029274,15;861903517,54;879256488,19;902347592,54;919793079,29;877519100,61;795411259,95;70559411,36;68181059298,97
".. Minas Gerais";71044116,73;69912631,37;72472769,51;74128656,77;76016029,21;76681773,19;75705667,82;76085433,82;76439753,05;74516748,80;74546853,93;74127405,17;90788446,48;67294782,37;76253167,01;74761285,39;75395927,29;77439254,55;87532103,43;84991596,33;85148672,86;87327108,02;89253149,49;89714667,81;84366441,87;84381328,95;83928494,97;85125176,39;88181531,59;88700080,31;88961826,25;90164799,70;92299487,75;90547252,26;100817876,24;95073615,15;102652092,32;104962117,77;103695392,83;103807615,67;100605184,02;103456973,01;108476179,27;110044798,35;114672019,28;112284302,60;113324993,94;64082649,34;116072719,19;116712811,87;116712905,24;115730748,68;117647820,98;117273743,37;118869431,55;121176007,58;99670366,79;119971588,84;122834818,86;123311916,17;125014381,05;125320782,27;123459881,43;126997678,20;121912605,12;128101246,18;128429110,33;127326289,13;134006407,34;130785749,63;134094190,35;138022036,09;135174729,10;128928401,19;127516339,82;134101584,72;133182132,80;141193033,54;142276457,40;143564640,51;144037444,69;153609607,79;160314894,39;141788044,28;147512730,90;154202582,40;149688865,20;153766486,37;152437965,34;160130979,40;154001511,21;161418253,23;161168066,55;164783105,23;163334634,11;167888353,37;168763023,06;150386689,08;166213184,89;170536670,84;170066172,47;167709512,25;168223456,31;177628449,47;144131805,89;184726404,57;140755630,81;188946460,81;193719148,69;148697121,15;195714622,54;196043940,31;196260958,12;195863909,94;198404139,32;203365622,20;209366840,53;214858098,24;199732224,33;184270513,09;10642799,04;15062693707,96
".. Espírito Santo";6726574,96;6946618,89;7626159,70;7957642,61;8246842,64;8141103,51;8421500,44;8367023,96;9178791,25;9044390,08;8517861,02;8643913,08;8236819,62;8152008,88;9387749,69;9746571,93;10041596,75;10828826,04;12535538,40;12299113,65;12558029,50;12881182,11;12773043,25;12090628,95;12515050,68;12777832,60;12325035,92;13046415,79;13448074,14;14048114,15;14410741,59;14015984,28;14348742,22;13971548,96;15628780,78;13626088,02;19426466,76;14979681,93;15772845,83;15995521,97;16785336,55;17590064,93;17366271,77;17701013,04;18841002,16;18367451,02;19519127,78;16979575,37;22695870,71;19151451,74;19841113,83;19990370,07;20483922,35;21172895,15;21433780,27;20821404,18;20672188,95;21469541,97;21299252,29;21087483,01;21543574,36;21590138,80;21211842,86;21752290,23;19815842,16;21830680,31;22170959,12;23804515,32;23344376,25;23209407,49;23822085,27;24609956,79;23594928,16;23365674,30;23547879,86;24237479,29;24684458,52;25663397,49;25908866,88;26054294,92;26563831,73;27849486,54;28221895,69;30149997,85;28343716,41;30400410,08;28021480,85;28502054,21;28484148,33;31300895,79;30518866,72;31406678,73;31397172,77;31181389,04;31218703,05;31681718,08;30140406,37;27621682,77;30103572,41;30856537,67;30177820,98;30815961,49;30596947,45;31927123,25;31451827,69;31521536,50;30499718,75;32747920,54;33687860,08;36382063,68;33330302,12;33827494,23;35723981,18;35798749,04;36051679,24;37359866,23;38459875,53;40328241,13;37805416,79;34963337,86;4359953,69;2600500544,59
".. Rio de Janeiro";55710846,60;55993644,39;53837419,96;58797433,77;58258137,07;59031864,37;59466016,76;59898841,74;58539591,75;57800392,25;57714946,47;57728332,65;57145812,34;53689802,06;54187608,58;57691423,26;58635007,87;59828871,31;73559551,36;71249454,92;72165535,94;76399126,33;77561320,87;75830966,26;74575640,58;79263355,52;75655114,40;76044864,15;78041302,27;78959521,23;77753449,38;79665903,55;80012836,59;82191907,37;87202637,00;88890903,43;91158608,47;102381486,72;98373028,50;102702654,55;103793694,55;101697639,79;105661571,57;63691679,37;64974176,21;107060386,30;109124664,70;42305400,38;109977778,79;83754553,85;108904929,69;110186161,94;111474361,12;111979650,75;117733330,07;116568050,14;116849196,00;115943198,88;119074131,08;120038992,09;121547411,08;119729519,10;119041307,45;121324866,39;124125323,26;124214452,27;117057863,64;120729079,20;122533377,34;120310894,05;122778563,80;126756292,64;124273890,01;125266280,76;122703337,21;125939271,18;124692546,84;131176563,42;130893751,32;132006133,78;134926660,48;137735727,00;139519471,53;137668144,53;132833568,41;140621884,61;135122486,08;136077971,39;136918915,62;141756990,66;140918709,46;140505698,86;139487280,25;144152309,34;144378021,40;146734734,63;147214183,04;142713504,12;148082745,19;147603067,54;147014787,89;142602665,39;144625846,46;145994022,00;147217980,17;146299984,28;137241469,59;163713626,12;170538031,83;169634952,28;163576848,06;166679645,08;162205322,00;174352618,56;172008563,63;171823293,70;174327132,65;173736791,78;168636825,67;152651759,46;6187026,40;13367530701,74
".. São Paulo";146170376,11;141396433,40;149363214,54;156977157,75;163718535,31;164800701,65;160641836,23;168058169,48;168464547,99;169018149,78;168984644,79;169440991,76;163378947,71;157613787,62;160526703,14;159353736,88;168588781,00;173688161,42;200294021,32;198745009,03;205095275,20;208783129,58;210112780,41;208414735,07;204913671,30;207027306,40;209361059,11;214355025,26;227674349,72;240851591,82;232531020,24;241143252,22;242831976,38;239669461,22;254365516,87;250504086,05;253879734,92;247552818,12;251014558,77;257891399,83;270690931,22;255335385,37;267001591,12;271616626,47;271621530,31;271793418,39;277448246,82;210761306,32;272666522,74;277386395,31;271208604,29;279496200,86;288382409,39;283406440,86;334588464,57;276932053,97;324255283,12;322523347,88;340974186,10;334790183,13;336832679,55;323688340,64;340393634,42;348047125,33;340828728,24;361383048,72;313854295,92;315680526,09;333061794,83;331209942,77;334984731,06;354540334,42;343283139,95;334219221,91;334826408,74;344334182,44;350811067,87;372415859,71;373962183,53;380159187,39;358610870,74;360898561,19;370749445,97;365619677,06;381762957,78;381153870,79;361999348,72;366002870,99;367243348,85;381022248,90;377456291,49;383604512,80;391065527,61;389665200,95;400671939,03;405114721,43;406679574,70;402395213,27;408166525,90;417020464,98;413732545,47;416754878,54;418389027,03;434687563,83;433609960,80;437912781,05;433789894,89;451100169,30;452296605,99;464861064,10;448053227,04;447120107,01;437066683,73;458013996,61;455439135,35;466707706,06;480193743,83;490869948,14;471344633,82;423525649,54;49369632,23;37150334344,68
"Região Sul";101314795,25;100033332,55;101471243,44;103452414,21;103781183,70;105057239,70;106908909,76;108608487,02;107446958,85;108914558,51;108035720,78;105857553,07;105720523,63;102716382,46;107714169,13;109292257,38;110583045,08;112609126,13;127602906,78;128719204,86;133083633,62;135691967,44;133898260,12;136097893,00;127567733,03;129482654,86;128136108,37;133850459,95;133292797,58;142145038,38;140316726,36;143785090,52;145565803,45;145722109,77;158415306,53;153528354,49;158282412,71;158471327,01;151416900,19;159355960,26;157164009,62;159945222,13;161698819,33;149993145,34;164986265,94;169148407,04;170931311,80;71667190,63;171498080,72;145025103,58;170914926,29;172002177,54;177424189,78;179713524,73;157907467,37;181822053,65;182642991,70;177384976,28;187890723,18;188202999,81;190123203,01;186902959,74;185885727,54;188376401,85;193236935,46;191608250,09;185360115,42;189079974,27;197861017,24;190720524,75;197391770,02;208573841,83;198346461,30;196324687,48;193525725,33;185489768,03;198693348,27;205358165,97;208282520,05;214649373,61;220224342,98;224010405,76;224171793,55;225884810,35;220209889,31;224290516,61;219245854,28;218821323,16;223616030,54;234318911,76;231742655,15;240427980,43;231368883,36;235180480,08;236865915,88;240170642,87;243643151,43;224345162,93;241260846,14;244318448,18;245568831,19;244585051,95;250522002,29;254727094,87;256516416,91;257832449,83;247612240,86;270179467,97;275772451,05;286211883,65;272509505,62;275086107,32;259919575,09;287594005,89;285371650,07;288267080,88;298116720,25;310963306,15;291051282,70;266550319,09;17257030,13;22264033426,16
".. Paraná";41647655,39;40682090,75;40416460,24;42399091,48;41777550,73;42926016,83;43081624,35;43936921,87;43095770,89;44874468,67;43648291,30;43246927,47;42771038,36;40265956,43;40484967,06;41985185,39;42976490,48;45161080,76;50141901,39;50657443,66;52903295,42;54634278,10;54349334,68;53921630,78;50663139,00;51138187,48;52712484,12;53448611,05;53218643,75;55225158,20;54425329,21;55201430,55;55987747,60;55814462,28;60936457,59;60308543,65;62246189,80;61602003,10;58972850,72;60722433,77;60507706,56;61317179,68;62603838,18;65918317,04;66467552,30;66083471,59;65709593,35;18606165,59;67884730,72;41384865,91;66420566,86;67376678,50;69092819,02;69940597,66;48543040,65;71116293,41;71555803,86;72132314,88;74214260,17;74946652,16;75403205,06;74043298,98;74316981,18;75114276,23;76882539,27;73908816,92;74492488,47;72713677,18;77577635,64;75787824,11;78925296,74;82685071,09;81294403,72;78982975,65;77455506,97;80193366,59;81203715,73;85568225,04;86050351,94;88174582,57;88288932,97;89657260,84;91708068,32;92656209,44;85907540,15;91737662,86;87790525,50;90412854,62;90788791,30;94442328,03;95756142,29;98006797,00;98445824,98;98663321,39;97586895,50;97876771,85;99400441,01;92568633,24;99114247,19;102576287,48;102384166,46;101678096,74;103309245,77;105431966,33;106063083,94;107789573,02;103544912,92;111623855,01;114412330,57;115772451,54;115129834,01;114220770,40;108829972,97;118998912,57;116603062,61;118665590,69;122498004,24;127483838,74;120945207,57;108368744,91;7597062,05;8951942050,54
".. Santa Catarina";17848805,59;17407240,27;17494642,56;18537678,70;18676601,01;18918126,72;19045900,40;19538276,58;19478401,72;19280411,34;19462466,32;18964325,77;18851744,60;18112959,66;19341010,74;20069234,37;20303309,71;20577833,85;23613916,91;23292735,09;23839519,74;24259692,56;24174044,21;23952941,90;23656566,43;24412079,28;24675381,37;25198688,85;25571209,53;27336554,92;26537772,02;27553037,57;27906048,30;29633170,89;31782843,46;29614521,63;32675788,00;30572963,17;28531655,11;29947177,70;29262317,27;30171314,25;30260735,28;18815103,38;31474738,60;32416677,11;32558614,64;9603030,07;31875023,38;32172939,26;33031106,05;33131553,79;33812377,67;34379343,19;35888433,99;35981764,19;34688224,16;31232101,32;36980088,90;37195120,36;37673912,69;37144014,29;36989905,80;37968949,76;38207209,20;38566086,18;38778979,34;37762567,12;42476567,76;40874191,36;41967436,65;43665620,78;43440730,48;41582531,67;41864649,49;29104609,87;42376318,78;40627653,99;46014042,21;45565679,92;47725577,80;49391863,64;47394391,28;49803295,34;48258992,69;50212387,88;50743314,57;48022273,47;51346818,07;53456127,24;52142866,36;52805814,65;53836861,45;53137743,24;54901073,13;54575185,55;54187122,66;47556170,06;53646256,87;55581659,03;55169936,43;55619315,49;56757891,98;57658804,49;56896971,98;59787732,52;53252042,67;60868103,52;61376733,01;67271854,26;60557027,92;60234022,31;56327517,61;63728965,66;63742095,92;64143630,04;66494622,62;70040207,45;64162496,63;60653550,06;4169927,38;4605868787,68
".. Rio Grande do Sul";41818334,27;41944001,53;43560140,64;42515644,03;43327031,96;43213096,15;44781385,01;45133288,57;44872786,24;44759678,50;44924963,16;43646299,83;44097740,67;44337466,37;47888191,33;47237837,62;47303244,89;46870211,52;53847088,48;54769026,11;56340818,46;56797996,78;55374881,23;58223320,32;53248027,60;53932388,10;50748242,88;55203160,05;54502944,30;59583325,26;59353625,13;61030622,40;61672007,55;60274476,60;65696005,48;63605289,21;63360434,91;66296360,74;63912394,36;68686348,79;67393985,79;68456728,20;68834245,87;65259724,92;67043975,04;70648258,34;72663103,81;43457994,97;71738326,62;71467298,41;71463253,38;71493945,25;74518993,09;75393583,88;73475992,73;74723996,05;76398963,68;74020560,08;76696374,11;76061227,29;77046085,26;75715646,47;74578840,56;75293175,86;78147186,99;79133346,99;72088647,61;78603729,97;77806813,84;74058509,28;76499036,63;82223149,96;73611327,10;75759180,16;74205568,87;76191791,57;75113313,76;79162286,94;76218125,90;80909111,12;84209832,21;84961281,28;85069333,95;83425305,57;86043356,47;82340465,87;80712014,21;80386195,07;81480421,17;86420456,49;83843646,50;89615368,78;79086196,93;83379415,45;84377947,25;87718685,47;90055587,76;84220359,63;88500342,08;86160501,67;88014728,30;87287639,72;90454864,54;91636324,05;93556360,99;90255144,29;90815285,27;97687509,44;99983387,47;103167577,85;96822643,69;100631314,61;94762084,51;104866127,66;105026491,54;105457860,15;109124093,39;113439259,96;105943578,50;97528024,12;5490040,70;8706222587,94
