"Região";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"1 Região Norte";"3341358";"4670893";"6024903";"6304007";"10487721";"13188451";"10506292";"10733688";"11119330";"11258226";"9344508";"9828139";"9355670";"9946112";"10986042";"9274912";"9154474";"10877054";"11044126";"10270460";"10972942";"9649183";"8539017";"10039078";"10583362";"10025161";"9085467";"256610576"
"2 Região Nordeste";"11724625";"13226859";"12797917";"15658097";"19049510";"29328851";"30350115";"29719015";"29362233";"28056420";"25857985";"25795134";"23603941";"25848110";"23552802";"22736079";"25612905";"29811188";"29245493";"27755854";"31384779";"30189146";"23636284";"27820677";"26733813";"26169565";"25520868";"670548265"
"3 Região Sudeste";"829199";"6457164";"6023075";"11636174";"27433963";"41022317";"37291328";"51130228";"37755589";"34343821";"35161235";"31341929";"32363477";"34419669";"36415893";"34058328";"37100754";"43107631";"42901017";"40670249";"46040552";"39196572";"35767971";"57195220";"49149428";"43295134";"38322826";"930430743"
"4 Região Sul";"2377514";"6018634";"6672065";"8178548";"7897493";"15699983";"11096849";"11791763";"12017490";"9951690";"11397338";"10421558";"9735299";"10167110";"12021762";"13770905";"11437372";"14022352";"15046867";"12721751";"15693326";"13635427";"12203697";"12702995";"14797980";"17505932";"14960133";"313943833"
"5 Região Centro-Oeste";"1240614";"1860555";"3352202";"3755987";"7158017";"8864017";"12189754";"7574837";"7318087";"6796005";"6688131";"6368147";"6296314";"16204049";"12706863";"6492104";"7277928";"8329440";"8546794";"8540460";"9876334";"8267427";"8541006";"8438230";"8052513";"7839805";"7767280";"206342900"
"Total";"19513310";"32234105";"34870162";"45532813";"72026704";"108103619";"101434338";"110949531";"97572729";"90406162";"88449197";"83754907";"81354701";"96585050";"95683362";"86332328";"90583433";"106147665";"106784297";"99958774";"113967933";"100937755";"88687975";"116196200";"109317096";"104835597";"95656574";"2377876317"
